"t_utc","duration_ms","status_code","success","response_bytes","input_tokens","output_tokens","total_tokens","retries","retry_wait_ms","error"
"2026-07-18T13:15:46.8298909Z","4438,9525","200","True","890",,,,"0","0",""
"2026-07-18T13:16:01.1051388Z","4487,3028","200","True","890",,,,"0","0",""
"2026-07-18T13:16:15.5723065Z","4488,8653","200","True","890",,,,"0","0",""
"2026-07-18T13:16:30.2060858Z","4790,8279","200","True","890",,,,"0","0",""
"2026-07-18T13:16:45.1329120Z","4258,0725","200","True","890",,,,"0","0",""
"2026-07-18T13:16:59.4855994Z","4284,3758","200","True","890",,,,"0","0",""
"2026-07-18T13:17:13.6118984Z","4760,3542","200","True","890",,,,"0","0",""
"2026-07-18T13:17:28.0889559Z","4426,1758","200","True","890",,,,"0","0",""
"2026-07-18T13:17:42.4764053Z","4644,9118","200","True","890",,,,"0","0",""
"2026-07-18T13:17:56.6974870Z","4816,1495","200","True","890",,,,"0","0",""
"2026-07-18T13:18:11.6914798Z","5255,945","200","True","890",,,,"0","0",""
"2026-07-18T13:18:26.9965806Z","4619,0955","200","True","890",,,,"0","0",""
"2026-07-18T13:18:41.6772780Z","4112,9821","200","True","890",,,,"0","0",""
"2026-07-18T13:18:56.0532750Z","5597,53","200","True","890",,,,"0","0",""
"2026-07-18T13:19:11.6378733Z","4312,7469","200","True","890",,,,"0","0",""
"2026-07-18T13:19:26.1482134Z","4929,4772","200","True","890",,,,"0","0",""
"2026-07-18T13:19:40.8998653Z","4380,3278","200","True","890",,,,"0","0",""
"2026-07-18T13:19:55.0159008Z","4562,3818","200","True","890",,,,"0","0",""
"2026-07-18T13:20:09.5761761Z","4210,7976","200","True","890",,,,"0","0",""
"2026-07-18T13:20:23.9992718Z","5006,597","200","True","890",,,,"0","0",""
"2026-07-18T13:20:39.1926228Z","4426,3774","200","True","890",,,,"0","0",""
"2026-07-18T13:20:53.5023652Z","4561,545","200","True","890",,,,"0","0",""
"2026-07-18T13:21:07.9778655Z","5280,5846","200","True","890",,,,"0","0",""
"2026-07-18T13:21:23.1865181Z","4658,5261","200","True","890",,,,"0","0",""
"2026-07-18T13:21:37.7920865Z","5109,9588","200","True","890",,,,"0","0",""
"2026-07-18T13:21:52.4876855Z","4480,826","200","True","890",,,,"0","0",""
"2026-07-18T13:22:06.8597056Z","4309,4068","200","True","890",,,,"0","0",""
"2026-07-18T13:22:21.1499204Z","4563,5572","200","True","890",,,,"0","0",""
"2026-07-18T13:22:35.7209092Z","4563,8587","200","True","890",,,,"0","0",""
"2026-07-18T13:22:50.2067139Z","4880,0403","200","True","890",,,,"0","0",""
"2026-07-18T13:23:04.8003169Z","4713,4035","200","True","890",,,,"0","0",""
"2026-07-18T13:23:19.4684134Z","4529,3795","200","True","890",,,,"0","0",""
"2026-07-18T13:23:33.7238639Z","4180,0188","200","True","890",,,,"0","0",""
"2026-07-18T13:23:47.9368071Z","4647,9407","200","True","890",,,,"0","0",""
"2026-07-18T13:24:02.9252584Z","4248,4795","200","True","890",,,,"0","0",""
"2026-07-18T13:24:17.2183287Z","4683,7092","200","True","890",,,,"0","0",""
"2026-07-18T13:24:31.9579502Z","4556,3385","200","True","890",,,,"0","0",""
"2026-07-18T13:24:46.2570654Z","4589,2512","200","True","890",,,,"0","0",""
"2026-07-18T13:25:01.3682703Z","5429,9263","200","True","890",,,,"0","0",""
"2026-07-18T13:25:16.8814035Z","4476,5741","200","True","890",,,,"0","0",""
"2026-07-18T13:25:31.7155859Z","4343,8987","200","True","890",,,,"0","0",""
"2026-07-18T13:25:45.9329511Z","4411,908","200","True","890",,,,"0","0",""
"2026-07-18T13:26:00.3443761Z","4244,9329","200","True","890",,,,"0","0",""
"2026-07-18T13:26:14.3532342Z","4747,1102","200","True","890",,,,"0","0",""
"2026-07-18T13:26:29.1972532Z","4738,7602","200","True","890",,,,"0","0",""
"2026-07-18T13:26:44.0793966Z","4226,3639","200","True","890",,,,"0","0",""
"2026-07-18T13:26:58.2672473Z","4322,086","200","True","890",,,,"0","0",""
"2026-07-18T13:27:13.1649694Z","4295,9209","200","True","890",,,,"0","0",""
"2026-07-18T13:27:27.6016130Z","4579,793","200","True","890",,,,"0","0",""
"2026-07-18T13:27:42.2079700Z","4594,2033","200","True","890",,,,"0","0",""
"2026-07-18T13:27:57.0174178Z","4277,573","200","True","890",,,,"0","0",""
"2026-07-18T13:28:10.8878740Z","4709,8923","200","True","890",,,,"0","0",""
"2026-07-18T13:28:25.6159765Z","4632,2184","200","True","890",,,,"0","0",""
"2026-07-18T13:28:40.1890775Z","4346,3217","200","True","890",,,,"0","0",""
"2026-07-18T13:28:54.3919807Z","4418,0816","200","True","890",,,,"0","0",""
"2026-07-18T13:29:08.8088860Z","4186,1377","200","True","890",,,,"0","0",""
"2026-07-18T13:29:23.2339906Z","4294,7974","200","True","890",,,,"0","0",""
"2026-07-18T13:29:37.6417024Z","4109,5039","200","True","890",,,,"0","0",""
"2026-07-18T13:29:51.5749568Z","4706,437","200","True","890",,,,"0","0",""
"2026-07-18T13:30:06.0878358Z","4509,1554","200","True","890",,,,"0","0",""
"2026-07-18T13:30:20.3978247Z","4496,2397","200","True","890",,,,"0","0",""
"2026-07-18T13:30:34.9321808Z","4385,765","200","True","890",,,,"0","0",""
"2026-07-18T13:30:49.1902690Z","4073,4558","200","True","890",,,,"0","0",""
"2026-07-18T13:31:03.5287619Z","4394,9744","200","True","890",,,,"0","0",""
"2026-07-18T13:31:17.8655735Z","4084,562","200","True","890",,,,"0","0",""
"2026-07-18T13:31:31.8706588Z","4296,7681","200","True","890",,,,"0","0",""
"2026-07-18T13:31:45.9956366Z","4022,5341","200","True","890",,,,"0","0",""
"2026-07-18T13:31:59.8390554Z","4755,4047","200","True","890",,,,"0","0",""
"2026-07-18T13:32:14.6830508Z","4306,7437","200","True","890",,,,"0","0",""
"2026-07-18T13:32:28.8968004Z","4563,8012","200","True","890",,,,"0","0",""
"2026-07-18T13:32:43.5909525Z","3940,6653","200","True","890",,,,"0","0",""
"2026-07-18T13:32:57.8523049Z","4524,8791","200","True","890",,,,"0","0",""
"2026-07-18T13:33:12.5224672Z","4125,5559","200","True","890",,,,"0","0",""
"2026-07-18T13:33:26.7830544Z","4466,6182","200","True","890",,,,"0","0",""
"2026-07-18T13:33:41.7345150Z","3933,9208","200","True","890",,,,"0","0",""
"2026-07-18T13:33:55.9463024Z","5422,2718","200","True","890",,,,"0","0",""
"2026-07-18T13:34:11.4113526Z","5347,4677","200","True","890",,,,"0","0",""
"2026-07-18T13:34:26.9964338Z","4402,1544","200","True","890",,,,"0","0",""
"2026-07-18T13:34:41.5941459Z","4382,566","200","True","890",,,,"0","0",""
"2026-07-18T13:34:55.8357009Z","4543,6825","200","True","890",,,,"0","0",""
"2026-07-18T13:35:10.5639238Z","5168,9006","200","True","890",,,,"0","0",""
"2026-07-18T13:35:26.0504983Z","5322,7162","200","True","890",,,,"0","0",""
"2026-07-18T13:35:41.2424258Z","5117,4014","200","True","890",,,,"0","0",""
"2026-07-18T13:35:56.5212067Z","4191,0011","200","True","890",,,,"0","0",""
"2026-07-18T13:36:11.1521921Z","4591,3975","200","True","890",,,,"0","0",""
"2026-07-18T13:36:25.7592270Z","4492,4883","200","True","890",,,,"0","0",""
"2026-07-18T13:36:40.0696793Z","4720,984","200","True","890",,,,"0","0",""
"2026-07-18T13:36:54.8177564Z","4574,4277","200","True","890",,,,"0","0",""
"2026-07-18T13:37:09.4271450Z","4607,6776","200","True","890",,,,"0","0",""
"2026-07-18T13:37:24.3972595Z","4302,6612","200","True","890",,,,"0","0",""
"2026-07-18T13:37:38.6747909Z","4563,2648","200","True","890",,,,"0","0",""
"2026-07-18T13:37:53.5309111Z","4587,9221","200","True","890",,,,"0","0",""
"2026-07-18T13:38:08.3295707Z","4820,6116","200","True","890",,,,"0","0",""
"2026-07-18T13:38:23.5057244Z","4324,2456","200","True","890",,,,"0","0",""
"2026-07-18T13:38:37.7730073Z","4191,7871","200","True","890",,,,"0","0",""
"2026-07-18T13:38:51.6313117Z","4852,7255","200","True","890",,,,"0","0",""
"2026-07-18T13:39:06.2258938Z","4368,0277","200","True","890",,,,"0","0",""
"2026-07-18T13:39:20.8003455Z","4102,504","200","True","890",,,,"0","0",""
"2026-07-18T13:39:35.0672225Z","4265,0679","200","True","890",,,,"0","0",""
"2026-07-18T13:39:49.5036915Z","4534,1836","200","True","890",,,,"0","0",""
"2026-07-18T13:40:04.2541296Z","4498,5793","200","True","890",,,,"0","0",""
"2026-07-18T13:40:18.7116212Z","4874,331","200","True","890",,,,"0","0",""
"2026-07-18T13:40:33.6900631Z","4453,1712","200","True","890",,,,"0","0",""
"2026-07-18T13:40:48.0869669Z","4140,0658","200","True","890",,,,"0","0",""
