"t_utc","duration_ms","status_code","success","response_bytes","input_tokens","output_tokens","total_tokens","retries","retry_wait_ms","error"
"2026-07-22T21:55:26.9412299Z","5813,4127","200","True","882",,,,"0","0",""
"2026-07-22T21:55:26.9425494Z","5934,5555","200","True","882",,,,"0","0",""
"2026-07-22T21:55:32.7793528Z","5851,5754","200","True","882",,,,"0","0",""
"2026-07-22T21:55:32.8854855Z","5977,096","200","True","882",,,,"0","0",""
"2026-07-22T21:55:38.8722110Z","5925,1486","200","True","882",,,,"0","0",""
"2026-07-22T21:55:38.6471229Z","6662,6796","200","True","882",,,,"0","0",""
"2026-07-22T21:55:44.8087006Z","6470,4675","200","True","882",,,,"0","0",""
"2026-07-22T21:55:45.3167190Z","6675,6867","200","True","882",,,,"0","0",""
"2026-07-22T21:55:52.0293725Z","6575,2266","200","True","882",,,,"0","0",""
"2026-07-22T21:55:51.2949284Z","7525,5712","200","True","882",,,,"0","0",""
"2026-07-22T21:55:58.8304160Z","6488,698","200","True","882",,,,"0","0",""
"2026-07-22T21:55:58.6169986Z","6702,618","200","True","882",,,,"0","0",""
"2026-07-22T21:56:05.3301067Z","6374,8075","200","True","882",,,,"0","0",""
"2026-07-22T21:56:05.3418019Z","6859,4755","200","True","882",,,,"0","0",""
"2026-07-22T21:56:11.7242414Z","6768,7048","200","True","882",,,,"0","0",""
"2026-07-22T21:56:12.2097843Z","6359,3994","200","True","882",,,,"0","0",""
"2026-07-22T21:56:18.5838389Z","6737,8877","200","True","882",,,,"0","0",""
"2026-07-22T21:56:18.5005433Z","6931,5","200","True","882",,,,"0","0",""
"2026-07-22T21:56:25.3582141Z","6832,3291","200","True","882",,,,"0","0",""
"2026-07-22T21:56:25.4395981Z","6973,723","200","True","882",,,,"0","0",""
